x,y,z
23126.9,-14860.7,896.945
23034.1,-14953.6,915.157
22941.2,-14953.6,928.65
23034.1,-15046.4,936.493
23126.9,-15046.4,939.75
23219.8,-15139.3,962.948
23126.9,-15139.3,977.438
23034.1,-15139.3,995.783
22941.2,-15139.3,988.405
22848.3,-15232.2,1004.09
22755.4,-15325.1,1005.95
22662.5,-15418,1016.39
22569.7,-15510.8,1032.87
22476.8,-15510.8,1035.66
22383.9,-15603.7,1054.14
22476.8,-15603.7,1056.6
22383.9,-15696.6,1070.03
22291,-15789.5,1075.88
22198.1,-15882.4,1086.18
22291,-15882.4,1101.27
22198.1,-15975.2,1103.53
22105.3,-16068.1,1108.85
22012.4,-16161,1122.14
21919.5,-16253.9,1132.24
21826.6,-16253.9,1138.69
21826.6,-16346.7,1151.39
21733.7,-16253.9,1153.11
21640.9,-16253.9,1155.04
21548,-16161,1161.89
21455.1,-16253.9,1163.62
21362.2,-16346.7,1159.3
21269.3,-16346.7,1158.03
21176.5,-16253.9,1165.48
21083.6,-16161,1155.77
20990.7,-16161,1146.53
20897.8,-16161,1142.88
20805,-16161,1140.48
20712.1,-16161,1134.3
20619.2,-16161,1131.84
20526.3,-16161,1146.73
20433.4,-16253.9,1141.28
20340.6,-16346.7,1160.23
20247.7,-16439.6,1172.39
20154.8,-16439.6,1164.55
20061.9,-16439.6,1178.24
19969,-16439.6,1195.12
19876.2,-16439.6,1208.61
19783.3,-16439.6,1224.7
19690.4,-16532.5,1225.43
19597.5,-16532.5,1232.68
19504.6,-16625.4,1237.86
19411.8,-16625.4,1234.6
19318.9,-16718.3,1233.87
19226,-16811.1,1240.19
19133.1,-16904,1237.86
19040.2,-16904,1246.57
18947.4,-16996.9,1246.5
18854.5,-17089.8,1242.11
18854.5,-17182.7,1240.98
18761.6,-17275.5,1253.68
18668.7,-17368.4,1260.93
18575.9,-17461.3,1264.65
18483,-17554.2,1277.14
18575.9,-17554.2,1284.26
18483,-17647.1,1297.22
18390.1,-17647.1,1304.33
18390.1,-17739.9,1325.6
18297.2,-17647.1,1343.74
18204.3,-17554.2,1346
18111.5,-17554.2,1347.07
18018.6,-17554.2,1349.86
17925.7,-17554.2,1360.56
17832.8,-17647.1,1372.86
17739.9,-17647.1,1376.91
17647.1,-17739.9,1391.47
17554.2,-17739.9,1399.05
17554.2,-17647.1,1406.16
17461.3,-17647.1,1422.31
17368.4,-17647.1,1435.47
17275.5,-17647.1,1448.9
17182.7,-17739.9,1464.38
17089.8,-17832.8,1490.57
16996.9,-17832.8,1495.82
16904,-17925.7,1505.66
16996.9,-17925.7,1517.43
16904,-17832.8,1526.33
16996.9,-17739.9,1538.5
16904,-17739.9,1544.61
16811.1,-17739.9,1550.93
16904,-17647.1,1556.04
16996.9,-17554.2,1559.63
17089.8,-17461.3,1566.35
17182.7,-17461.3,1572.73
17182.7,-17368.4,1576.32
17275.5,-17461.3,1588.55
17368.4,-17368.4,1596.39
17461.3,-17275.5,1614.4
17554.2,-17368.4,1628.3
17554.2,-17275.5,1631.82
17461.3,-17182.7,1647.5
17554.2,-17182.7,1653.55
17647.1,-17275.5,1653.69
17739.9,-17275.5,1656.35
17647.1,-17182.7,1665.12
17739.9,-17182.7,1689.25
